"Step","DiT-L (2x2) - FID-50K (cfg=1.0)","DiT-L (2x2) - FID-50K (cfg=1.0)__MIN","DiT-L (2x2) - FID-50K (cfg=1.0)__MAX"
"61","307.97610496196086","307.97610496196086","307.97610496196086"
"587","72.14676571869336","72.14676571869336","72.14676571869336"
"1054","50.4108571452125","50.4108571452125","50.4108571452125"
"1114","49.103540829193435","49.103540829193435","49.103540829193435"
"2098","32.87509211861686","32.87509211861686","32.87509211861686"
"3125","25.88204890040356","25.88204890040356","25.88204890040356"
"4152","23.33","21.97256461002445","21.97256461002445"
"4731","20.752091921204055","20.752091921204055","20.752091921204055"
"5196","19.716204259727476","19.716204259727476","19.716204259727476"
"6219","18.241886084606676","18.241886084606676","18.241886084606676"
"7243","16.803622232999032","16.803622232999032","16.803622232999032"
"8267","16.047413983002002","16.047413983002002","16.047413983002002"
"9291","15.562330689268038","15.562330689268038","15.562330689268038"
"10311","14.889789080118135","14.889789080118135","14.889789080118135"
"11334","14.367977203622445","14.367977203622445","14.367977203622445"
"12358","13.765305376927245","13.765305376927245","13.765305376927245"
"13382","13.354145164545685","13.354145164545685","13.354145164545685"
"14406","13.118682517701643","13.118682517701643","13.118682517701643"
"15426","12.980737997098117","12.980737997098117","12.980737997098117"
"16449","12.753881216049308","12.753881216049308","12.753881216049308"
"17473","12.594985455328242","12.594985455328242","12.594985455328242"
"18497","12.506237000006308","12.506237000006308","12.506237000006308"
"19521","12.205793884422576","12.205793884422576","12.205793884422576"
