"Step","DiT-H (2x2) - FID-50K (cfg=1.0)","DiT-H (2x2) - FID-50K (cfg=1.0)__MIN","DiT-H (2x2) - FID-50K (cfg=1.0)__MAX"
"57","309.8294699653182","309.8294699653182","309.8294699653182"
"583","69.35236865193372","69.35236865193372","69.35236865193372"
"1050","45.11300420836517","45.11300420836517","45.11300420836517"
"2077","27.926887330555587","27.926887330555587","27.926887330555587"
"3104","21.700977564020093","21.700977564020093","21.700977564020093"
"4131","19.47","18.32038312416671","18.32038312416671"
"5151","16.48783473889523","16.48783473889523","16.48783473889523"
"6177","15.026901919527916","15.026901919527916","15.026901919527916"
"7204","14.0413383969277","14.0413383969277","14.0413383969277"
"7785","13.4860117579683","13.4860117579683","13.4860117579683"
"8252","13.238359470632645","13.238359470632645","13.238359470632645"
"9279","12.674790994361047","12.674790994361047","12.674790994361047"
"9339","12.59298257553462","12.59298257553462","12.59298257553462"
"10316","12.174521135991142","12.174521135991142","12.174521135991142"
"11342","11.856105999372119","11.856105999372119","11.856105999372119"
"11407","11.764971915176261","11.764971915176261","11.764971915176261"
"12391","11.703431067252495","11.703431067252495","11.703431067252495"
"13418","11.272184324044531","11.272184324044531","11.272184324044531"
"14445","11.228385336651968","11.228385336651968","11.228385336651968"
"15465","10.881568067021135","10.881568067021135","10.881568067021135"
"16491","10.778557262706727","10.778557262706727","10.778557262706727"
"16551","10.696551200074225","10.696551200074225","10.696551200074225"
"17535","10.65701706568484","10.65701706568484","10.65701706568484"
"18120","10.582097096778284","10.582097096778284","10.582097096778284"
"18587","10.584629591915245","10.584629591915245","10.584629591915245"
"19614","10.375275857458405","10.375275857458405","10.375275857458405"
"20634","10.230577502792812","10.230577502792812","10.230577502792812"
"21660","10.241009770008475","10.241009770008475","10.241009770008475"
"22687","10.161776619713919","10.161776619713919","10.161776619713919"
"23714","10.19136039715653","10.19136039715653","10.19136039715653"
"24287","9.933059895883389","9.933059895883389","9.933059895883389"
"24760","10.011398365789603","10.011398365789603","10.011398365789603"
"25780","9.907389691327808","9.907389691327808","9.907389691327808"
"26805","9.87260519997227","9.87260519997227","9.87260519997227"
"27831","9.753574083030514","9.753574083030514","9.753574083030514"
"28857","9.875839943860342","9.875839943860342","9.875839943860342"
"29883","9.722432635503765","9.722432635503765","9.722432635503765"
"30903","9.674833654637837","9.674833654637837","9.674833654637837"
"31928","9.667733173509646","9.667733173509646","9.667733173509646"
"32954","9.694909807498505","9.694909807498505","9.694909807498505"
"33980","9.64865714939242","9.64865714939242","9.64865714939242"
"35006","9.65773525976897","9.65773525976897","9.65773525976897"
"36026","9.547499205685597","9.547499205685597","9.547499205685597"
"37051","9.556131364285648","9.556131364285648","9.556131364285648"
"38077","9.506745350868016","9.506745350868016","9.506745350868016"
"39103","9.624650688266286","9.624650688266286","9.624650688266286"
"40129","9.497427409885233","9.497427409885233","9.497427409885233"
"41149","9.455306474717986","9.455306474717986","9.455306474717986"
"42174","9.438454200280944","9.438454200280944","9.438454200280944"
"42818","9.486227589723967","9.486227589723967","9.486227589723967"
"43284","9.361452773584574","9.361452773584574","9.361452773584574"
"43873","9.498187496373873","9.498187496373873","9.498187496373873"
"44337","9.44025070874153","9.44025070874153","9.44025070874153"
"45361","9.461767601672022","9.461767601672022","9.461767601672022"
"46381","9.27253160416825","9.27253160416825","9.27253160416825"
"47404","9.431478303440372","9.431478303440372","9.431478303440372"
"48428","9.377432358816122","9.377432358816122","9.377432358816122"
"49452","9.118863890758064","9.118863890758064","9.118863890758064"
"50476","9.359192976547774","9.359192976547774","9.359192976547774"
"51496","9.325246975598759","9.325246975598759","9.325246975598759"
"52519","9.210079392382966","9.210079392382966","9.210079392382966"
"53543","9.272110424568893","9.272110424568893","9.272110424568893"
"54567","9.127027007762536","9.127027007762536","9.127027007762536"
"55591","9.224820859079955","9.224820859079955","9.224820859079955"
"56611","9.0743212625527","9.0743212625527","9.0743212625527"
"57634","9.0852692057706","9.0852692057706","9.0852692057706"
"58658","8.951580762530398","8.951580762530398","8.951580762530398"
"59682","9.065124074552273","9.065124074552273","9.065124074552273"
"60706","9.099642324698038","9.099642324698038","9.099642324698038"
"61726","9.020913217661416","9.020913217661416","9.020913217661416"
"62749","9.037732121853423","9.037732121853423","9.037732121853423"
"63773","9.072802957584713","9.072802957584713","9.072802957584713"
"64797","9.104055813876471","9.104055813876471","9.104055813876471"
"65821","9.132933327552223","9.132933327552223","9.132933327552223"
"66841","8.924360702501076","8.924360702501076","8.924360702501076"
"67864","9.020228934205193","9.020228934205193","9.020228934205193"
"68888","8.940980431214825","8.940980431214825","8.940980431214825"
"69912","8.960132807500145","8.960132807500145","8.960132807500145"
"70936","9.02939591470323","9.02939591470323","9.02939591470323"
"71956","8.989038402308267","8.989038402308267","8.989038402308267"
"72979","9.012839434254431","9.012839434254431","9.012839434254431"
"74003","8.96543286597148","8.96543286597148","8.96543286597148"
"75027","9.013482037681456","9.013482037681456","9.013482037681456"
"75214","9.083559679559642","9.083559679559642","9.083559679559642"
"76192","9.094953623056199","9.094953623056199","9.094953623056199"
"77212","8.907208733666664","8.907208733666664","8.907208733666664"
"78235","9.04155045456696","9.04155045456696","9.04155045456696"
"79259","8.956280885309639","8.956280885309639","8.956280885309639"
"80283","8.923802887549869","8.923802887549869","8.923802887549869"
"81307","9.00111051176566","9.00111051176566","9.00111051176566"
"82327","8.87251690437256","8.87251690437256","8.87251690437256"
"83350","8.93114406407824","8.93114406407824","8.93114406407824"
"84090","8.985119613968493","8.985119613968493","8.985119613968493"
"84552","8.80234332946884","8.80234332946884","8.80234332946884"
"85574","8.930187068884834","8.930187068884834","8.930187068884834"
"86596","8.882301116726637","8.882301116726637","8.882301116726637"
"87616","8.766828851662694","8.766828851662694","8.766828851662694"
"88637","8.774614428297298","8.774614428297298","8.774614428297298"
