2024-12-29 22:01:25,114 INFO    ThreadPoolExecutor-0_0:466762 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_setup.py:_flush():68] Configure stats pid to 466762
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_setup.py:_flush():68] Loading settings from /home/tsb/.config/wandb/settings
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_setup.py:_flush():68] Loading settings from /home/tsb/VAE-enhanced/wandb/settings
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:_log_setup():528] Logging user logs to /home/tsb/VAE-enhanced/wandb/run-20241229_220125-wiiqs5w5/logs/debug.log
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:_log_setup():529] Logging internal logs to /home/tsb/VAE-enhanced/wandb/run-20241229_220125-wiiqs5w5/logs/debug-internal.log
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():644] calling init triggers
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'batch_size': 32, 'base_lr': 0.0001, 'max_steps': 500000, 'num_workers': 4, 'save_step': 5000, 'sample_steps': 500, 'resolution': 256, 'hidden_dim': 512, 'num_tokens': 256, 'use_gan': True, 'gan_start_steps': 0, 'gan_rampup_steps': 100000, 'gan_weight': 1.0, 'disc_lr': 0.0001, 'd_reg_every': 16, 'r1_weight': 10, 'dino_size': 'large', 'beta': 0.1, 'perceptual_weight': 1.0, 'max_grad_norm': 1.0, 'tpu_cores': 4, 'tpu_metrics_debug': False, 'resume': False, 'checkpoint_path': None, 'run_name': 'vae_run', 'save_dir': 'ckpt_gcs/tokenizer/vae_run_tpu', 'steps_per_epoch': 9394}
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():680] starting backend
2024-12-29 22:01:25,115 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():684] sending inform_init request
2024-12-29 22:01:25,127 INFO    ThreadPoolExecutor-0_0:466762 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-29 22:01:25,128 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():697] backend started and connected
2024-12-29 22:01:25,137 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():790] updated telemetry
2024-12-29 22:01:25,146 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-29 22:01:25,390 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():874] starting run threads in backend
2024-12-29 22:01:25,582 INFO    ThreadPoolExecutor-0_0:466762 [wandb_run.py:_console_start():2374] atexit reg
2024-12-29 22:01:25,582 INFO    ThreadPoolExecutor-0_0:466762 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-29 22:01:25,582 INFO    ThreadPoolExecutor-0_0:466762 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-29 22:01:25,583 INFO    ThreadPoolExecutor-0_0:466762 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-29 22:01:25,585 INFO    ThreadPoolExecutor-0_0:466762 [wandb_init.py:init():916] run started, returning control to user process
