2025-01-02 05:12:57,046 INFO    ThreadPoolExecutor-0_0:242665 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_setup.py:_flush():68] Configure stats pid to 242665
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_setup.py:_flush():68] Loading settings from /home/tsb/.config/wandb/settings
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_setup.py:_flush():68] Loading settings from /home/tsb/projectt/wandb/settings
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:_log_setup():528] Logging user logs to /home/tsb/projectt/wandb/run-20250102_051257-acm1atax/logs/debug.log
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:_log_setup():529] Logging internal logs to /home/tsb/projectt/wandb/run-20250102_051257-acm1atax/logs/debug-internal.log
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():644] calling init triggers
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'batch_size': 24, 'base_lr': 0.0001, 'max_steps': 500000, 'num_workers': 4, 'save_step': 5000, 'sample_steps': 500, 'resolution': 256, 'hidden_dim': 512, 'num_tokens': 256, 'use_gan': True, 'gan_start_steps': 50000, 'gan_rampup_steps': 100000, 'gan_weight': 1.0, 'disc_lr': 1e-05, 'd_reg_every': 2, 'r1_weight': 10, 'dino_size': 'large', 'beta': 0.1, 'perceptual_weight': 1.0, 'max_grad_norm': 1.0, 'tpu_cores': 4, 'tpu_metrics_debug': False, 'resume': False, 'checkpoint_path': None, 'run_name': 'debug', 'num_codebook_vectors': 16384, 'use_commitment': False, 'commitment_cost': 0.25, 'analysis_steps': 1000, 'train_encoder': True, 'progressive_unfreeze': False, 'unfreeze_after_steps': 20000, 'unfreeze_strategy': 'all', 'save_dir': 'ckpt_gcs/tokenizer/debug_tpu', 'steps_per_epoch': 12526}
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():680] starting backend
2025-01-02 05:12:57,047 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():684] sending inform_init request
2025-01-02 05:12:57,057 INFO    ThreadPoolExecutor-0_0:242665 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-02 05:12:57,057 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():697] backend started and connected
2025-01-02 05:12:57,064 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():790] updated telemetry
2025-01-02 05:12:57,072 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-01-02 05:12:57,363 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():874] starting run threads in backend
2025-01-02 05:12:57,550 INFO    ThreadPoolExecutor-0_0:242665 [wandb_run.py:_console_start():2374] atexit reg
2025-01-02 05:12:57,550 INFO    ThreadPoolExecutor-0_0:242665 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-01-02 05:12:57,550 INFO    ThreadPoolExecutor-0_0:242665 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-01-02 05:12:57,550 INFO    ThreadPoolExecutor-0_0:242665 [wandb_run.py:_redirect():2314] Redirects installed.
2025-01-02 05:12:57,552 INFO    ThreadPoolExecutor-0_0:242665 [wandb_init.py:init():916] run started, returning control to user process
